ID,Year,Waste Comapny Code,Value,Type
83,2008,1015,28057.0,Undifferentiated
84,2008,1016,1243.0,Undifferentiated
85,2008,9999,109353.0,Undifferentiated
86,2009,1001,2583.0,Undifferentiated
87,2009,1002,2018.0,Undifferentiated
88,2009,1003,3748.0,Undifferentiated
89,2009,1004,7421.0,Undifferentiated
90,2009,1005,870.0,Undifferentiated
91,2009,1006,6064.0,Undifferentiated
92,2009,1007,5261.0,Undifferentiated
93,2009,1008,11362.0,Undifferentiated
94,2009,1009,14265.0,Undifferentiated
95,2009,1010,14898.0,Undifferentiated
96,2009,1011,4201.0,Undifferentiated
97,2009,1012,1949.0,Undifferentiated
98,2009,1013,3716.0,Undifferentiated
99,2009,1014,1491.0,Undifferentiated
100,2009,1015,25997.0,Undifferentiated
101,2009,1016,742.0,Undifferentiated
102,2009,9999,106586.0,Undifferentiated
103,2010,1001,2485.0,Undifferentiated
104,2010,1002,1908.7,Undifferentiated
105,2010,1003,3759.1,Undifferentiated
106,2010,1004,7086.7,Undifferentiated
107,2010,1005,768.6,Undifferentiated
108,2010,1006,6024.9,Undifferentiated
109,2010,1007,5181.4,Undifferentiated
110,2010,1008,10361.2,Undifferentiated
111,2010,1009,13476.7,Undifferentiated
112,2010,1010,15443.1,Undifferentiated
113,2010,1011,3883.4,Undifferentiated
114,2010,1012,2037.1,Undifferentiated
115,2010,1013,3737.8,Undifferentiated
116,2010,1014,1279.2,Undifferentiated
117,2010,1015,23543.5,Undifferentiated
118,2010,1016,724.0,Undifferentiated
119,2010,9999,101700.4,Undifferentiated
120,2011,1001,2443.0,Undifferentiated
121,2011,1002,1650.3,Undifferentiated
122,2011,1003,3656.8,Undifferentiated
123,2011,1004,6767.9,Undifferentiated
124,2011,1005,900.0,Undifferentiated
125,2011,1006,5870.8,Undifferentiated
126,2011,1007,4842.0,Undifferentiated
127,2011,1008,8236.1,Undifferentiated
128,2011,1009,13460.6,Undifferentiated
129,2011,1010,16132.3,Undifferentiated
130,2011,1011,3807.9,Undifferentiated
131,2011,1012,2671.4,Undifferentiated
132,2011,1013,3718.6,Undifferentiated
133,2011,1014,1340.9,Undifferentiated
134,2011,1015,20917.5,Undifferentiated
135,2011,1016,839.5,Undifferentiated
136,2011,9999,97255.6,Undifferentiated
