Municipality,ISTAT Code,Cadastral Code,Year of Construction,Climate Zone,Winter Energy,Sanitary Energy,Global Energy Location,Non-Renewable Global Energy Performance,Renewable Global Energy Performance,Degree Days,CO2 Emission,ID
Riva del Garda,22153,307,1980,E,40.4,0.5,38.78,0.0,0.0,2276,8.17,93
Rovereto,22161,193,1920,E,180.7,24.34,207.46,0.0,0.0,2713,41.0,94
Rovereto,22161,322,1970,E,179.34,24.56,206.01,0.0,0.0,2713,40.78,95
Nago-Torbole,22124,248,1979,E,143.86,62.9,201.18,0.0,0.0,2276,57.85,96
Riva del Garda,22153,307,2000,E,51.9,0.84,46.69,0.0,0.0,2276,10.54,97
Riva del Garda,22153,307,2000,E,32.91,2.09,33.03,0.0,0.0,2276,6.99,98
Predazzo,22147,290,1989,F,112.1,20.8,181.9,0.0,0.0,4295,26.6,99
Lavis,22103,185,2013,E,8.65,1.03,9.89,0.0,0.0,2784,1.64,100
Predazzo,22147,290,1954,F,192.9,20.8,292.0,0.0,0.0,4295,42.7,101
Rovereto,22161,215,1918,E,1078.79,118.82,1205.85,0.0,0.0,2713,186.93,102
Borgo Valsugana,22022,37,1960,E,47.86,22.13,76.68,0.0,0.0,2984,16.0,103
Ala,22001,2,2004,E,175.52,24.76,199.58,0.0,0.0,2672,41.0,104
Mezzocorona,22116,230,1900,E,62.9,3.8,68.0,0.0,0.0,2835,13.3,105
Mezzocorona,22116,230,2002,E,94.1,32.4,130.1,0.0,0.0,2835,25.3,106
Riva del Garda,22153,307,1900,E,163.68,32.89,192.09,0.0,0.0,2276,39.86,107
Rovereto,22161,322,1976,E,309.25,31.3,354.84,0.0,0.0,2713,109.62,108
Mezzano,22115,229,1973,F,226.09,25.73,334.98,0.0,0.0,3389,66.4,109
Mezzano,22115,229,2003,F,129.06,16.7,167.1,0.0,0.0,3389,1.81,110
Mezzano,22115,229,1998,F,50.46,22.68,90.78,0.0,0.0,3389,16.4,111
